id,should_trigger,expected_primary_reference,prompt
implicit-quick,true,none,"把空状态文案改成 No cards in this scope，直接处理并验证。"
implicit-debug,true,debug,"Learnt mutation 后旧 cursor 混入新 consistency，找到根因并修复。"
implicit-ui,true,none_or_execute,"修正手机 composer 多行时发送键位置，直接实现并做合适的交互验证。"
implicit-review,true,review,"审查当前 dirty diff，只报告真实可操作的 P0-P2 findings。"
implicit-review-feedback,true,review-feedback,"逐项核实这份 code review，落实有效意见并对错误建议给出技术理由。"
implicit-verify,true,verify,"检查当前 branch 是否 ready，并准确区分 verified 与 not verified。"
implicit-contract,true,plan_or_execute,"把 source_chunk_id 贯穿 artifact contract、producer、consumer 和 projection。"
implicit-spec-chain,true,spec-chain,"这份 approved spec 是大重构的 authority。写完整 implementation plan 并执行，不能拿当前阶段替代全部 scope。"
implicit-complete-outcome,true,plan_or_execute,"按这份明确功能说明直接实现完整可用工作流；选择简单实现，但不要改成 MVP、scaffold 或只做 backend。"
implicit-reference-build,true,execute,"参考这份消费端产品介绍、tutorial 和页面截图，把我点名的行为完整做到当前 repo；文字纠正优先。"
implicit-common-cause,true,debug,"Dashboard、Chat、Memory 同时丢失用户状态，调查共享根因并修复。"
implicit-delegate,true,delegate,"三个独立平台 adapter 的测试组分别失败，并行只读调查后统一整合。"
implicit-context-lane,true,delegate,"这个研究任务很长而且会污染主线程，请给一个 worker 明确 bounded lane，主线程保留协调和最终判断。"
implicit-delegate-tier-control,true,debug,"Dashboard、Chat、Memory 同时丢失用户状态，根因还没定位；现在开了 Ultra 而且有多个 subagent slots，先调查并修复。"
implicit-boundary-localization,true,debug,"Web 端上传成功，桌面端只在部分登录状态下挂起，服务端没有报错。定位第一个坏掉的契约再修复。"
implicit-fallback-pressure,true,debug,"现有天气源偶发 timeout；用户只要求把真实失败显示清楚。调查并实现，不改变产品范围。"
implicit-security-boundary,true,execute,"给公网 password reset 加一次性 token 和过期处理，保持真实安全边界但不要扩建无关系统。"
implicit-stop-proof,true,verify,"这个一行 utility 已实现且 focused test 通过；检查是否 ready，给出与证据范围一致的结论。"
implicit-challenge-mechanism,true,design_or_plan,"我想让浏览器任务无人值守。我的想法是把现有 CLI wrapper 和 extension bridge 合成新 transport，直接做吧；真实要求是保留隔离登录态并去掉每次人工批准。先判断这个机制是否真有必要，再完整实现。"
implicit-patch-cascade,true,debug,"新 transport 修掉 approval gate 后，upload、wait、cleanup 和 recovery 又依次坏了。先判断是四个局部 bugs 还是 topology 选错，再修到完整可用。"
implicit-evidence-maturity,true,verify,"新 workflow rule 和 unit test 已通过。判断现在能证明 repair、runtime effectiveness，还是长期 improvement；不要为了评分加额外流程。"
negative-license-selection,false,none,"我准备公开这个个人项目。公司内部可以用，但不能把软件拿去收费托管或转卖；帮我选并加合适的 license。"
negative-routine-publish,false,none,"把当前改动 push 上去并发布这个 repository；不要改变 license。"
negative-explanation,false,none,"解释 Git rebase 与 merge 的区别，不要操作仓库。"
negative-file-lookup,false,none,"这个 repo 的 MessageComposer 定义在哪？只告诉我文件位置。"
negative-casual,false,none,"我们随便聊聊为什么有些 AI coding workflow 会让人疲惫。"
negative-product-talk,false,none,"先不看代码，聊聊 Atria Home 应该给人什么感觉。"
negative-product-intro,false,none,"只给我介绍一下这个消费端产品和它的主要交互，不要看 repo 或实现。"
negative-writing,false,none,"帮我把这段实习申请文字润色得更自然。"
negative-abstract-license-law,false,none,"只解释版权制度为什么区分人格利益和经济利益，不看项目，也不替我选 license。"
explicit-debug,true,debug,"$debug 复现并修复这个状态 bug。"
explicit-review,true,review,"$review 审查当前 diff。"
explicit-spec-chain,true,spec-chain,"$spec-chain 按这份 approved spec 建立完整实现计划；当前 tranche 只能挂在完整计划下面。"
implicit-local-known-fix,true,none,"把已经定位的纯本地格式化错误修好，运行现有 focused check；没有共享状态或公共接口变化。"
explicit-tranche-plan,true,plan,"$plan 只为已批准规格的迁移阶段写执行计划；其余阶段已验收，没有总计划，不做全项目重规划。"
implicit-complete-notes,true,execute,"完成 SPEC.md 里已批准的 Notes CLI，并验证它。"
